latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-18.1318,137.85999,335.51,0.47,0.64,2026-07-17,0521,N,nominal,2.0NRT,302.74,3.27,D
-18.13279,137.85542,331.77,0.47,0.64,2026-07-17,0521,N,nominal,2.0NRT,300.7,3.27,D
-17.91267,137.26205,329.89,0.44,0.62,2026-07-17,0521,N,low,2.0NRT,300.76,8.21,D
-17.90874,137.25243,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,307.53,17.31,D
-17.89606,137.31119,337.93,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.26,3.19,D
-17.89696,137.30704,338.22,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.04,3.19,D
-17.8997,137.29433,330.33,0.44,0.62,2026-07-17,0521,N,low,2.0NRT,301.46,2.4,D
-17.90062,137.29007,333.26,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.9,2.4,D
-17.90154,137.28581,331.12,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.19,4.59,D
-17.90785,137.25658,339.7,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,303.61,8.21,D
-17.90963,137.24832,358.06,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,302.43,17.31,D
-17.91051,137.2442,337.68,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,298.8,2.48,D
-17.9114,137.2401,330.58,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,297.76,2.48,D
-17.90746,137.23055,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,300.61,6.25,D
-17.90391,137.24699,343.73,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.62,9.39,D
-17.90568,137.2388,330.15,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.49,8.69,D
-17.90657,137.2347,339.98,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.98,6.25,D
-17.89281,137.27054,338.38,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.61,4.1,D
-17.90085,137.23337,331.6,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.5,6.25,D
-17.90174,137.22925,356.74,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.8,6.25,D
-17.90264,137.22513,356.79,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.88,7.39,D
-17.90353,137.22101,339.28,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,296.42,7.39,D
-17.89603,137.22794,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,306.24,15.59,D
-17.89782,137.2197,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,320.8,39.8,D
-17.8889,137.26085,346.64,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,301.95,7.07,D
-17.88979,137.25673,335.12,0.44,0.62,2026-07-17,0521,N,nominal,2.0NRT,304.35,4.71,D
-17.89425,137.23615,341.77,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,296.96,5.56,D
-17.89514,137.23206,332.45,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,297.71,15.59,D
-17.89692,137.22382,345.56,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.53,39.8,D
-17.89872,137.21553,338.86,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,300.08,46.92,D
-17.89211,137.21838,367,0.43,0.62,2026-07-17,0521,N,high,2.0NRT,298.95,39.8,D
-17.88497,137.25124,331.13,0.43,0.62,2026-07-17,0521,N,low,2.0NRT,302.38,4.71,D
-17.89122,137.2225,330.09,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,294.27,39.8,D
-17.893,137.21425,349.52,0.43,0.62,2026-07-17,0521,N,nominal,2.0NRT,299.53,46.92,D
-18.58822,132.08797,340.5,0.4,0.44,2026-07-17,0521,N,nominal,2.0NRT,305.06,6.23,D
-18.5779,132.09778,333.81,0.4,0.44,2026-07-17,0521,N,low,2.0NRT,305.08,2.34,D
-18.55817,132.15742,341.52,0.41,0.45,2026-07-17,0521,N,nominal,2.0NRT,305.29,3.82,D
-18.5589,132.15359,331.89,0.4,0.45,2026-07-17,0521,N,low,2.0NRT,304.43,3.36,D
-18.55407,132.1566,340.45,0.41,0.45,2026-07-17,0521,N,nominal,2.0NRT,307,3.82,D
-18.55659,132.15666,349.26,0.41,0.45,2026-07-17,0521,N,nominal,2.0NRT,307.6,5.49,D
-18.55728,132.15282,332.62,0.41,0.45,2026-07-17,0521,N,nominal,2.0NRT,306.43,1.62,D
-18.55248,132.15582,337.17,0.41,0.45,2026-07-17,0521,N,nominal,2.0NRT,305.64,1.86,D
-19.10937,128.87012,330.62,0.42,0.37,2026-07-17,0521,N,nominal,2.0NRT,303.62,0.82,D
-19.10657,128.86552,334.51,0.42,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.69,4.84,D
-19.11028,128.82129,342.43,0.42,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.07,3.17,D
-19.11093,128.81732,335.13,0.42,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.48,3.17,D
-19.01562,128.78061,351.12,0.42,0.37,2026-07-17,0521,N,nominal,2.0NRT,305.55,5.04,D
-18.98374,128.75854,334.22,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.52,4.78,D
-18.98439,128.75459,355.45,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,307.7,4.78,D
-18.98504,128.75067,343.63,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,303.38,7.03,D
-18.98569,128.74672,356.3,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.35,7.03,D
-18.98094,128.75398,350.25,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,305.83,11.88,D
-18.98159,128.75003,347.61,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.25,4.45,D
-18.98224,128.74609,350.08,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.3,4.45,D
-18.97815,128.7494,330.77,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,304.89,4.45,D
-18.97535,128.74483,333.24,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,305.33,2.37,D
-18.976,128.74091,341.95,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.66,3.9,D
-18.97516,128.72453,340.62,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306,4.06,D
-18.97581,128.7206,342.92,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,307.15,4.06,D
-18.97711,128.71272,356.39,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.03,61.33,D
-18.97302,128.71603,352.93,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,312.08,33.6,D
-18.97367,128.7121,355.32,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,313.69,33.6,D
-18.97432,128.70818,334.73,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,308.05,6.84,D
-18.97497,128.70424,350.3,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,310.06,6.84,D
-18.97562,128.70032,344.98,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,307.45,4.36,D
-18.97627,128.6964,331.29,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,306.12,4.36,D
-18.96827,128.72328,337.84,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,305.95,8.55,D
-18.97477,128.68401,335.73,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,309.88,4.85,D
-18.97607,128.67615,336.25,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.72,9.16,D
-18.97672,128.67223,356.33,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,310.05,9.16,D
-18.97737,128.6683,332.72,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,303,7.02,D
-18.97328,128.67162,367,0.41,0.37,2026-07-17,0521,N,high,2.0NRT,321.68,69.06,D
-18.97393,128.66769,367,0.41,0.37,2026-07-17,0521,N,high,2.0NRT,349.89,125.14,D
-18.96548,128.71872,335.7,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,303.44,3.11,D
-18.96613,128.71478,344.81,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.45,6.09,D
-18.97049,128.66707,367,0.41,0.37,2026-07-17,0521,N,high,2.0NRT,336.77,125.14,D
-18.96399,128.70631,335.79,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,305.89,3.33,D
-18.96464,128.70238,336.05,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,307.42,3.33,D
-18.96529,128.69846,335.58,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,308.8,2.8,D
-18.96594,128.69452,335.97,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,308.24,2.8,D
-18.96984,128.67099,367,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,340.14,69.06,D
-18.9664,128.67036,367,0.41,0.37,2026-07-17,0521,N,high,2.0NRT,337.61,91.39,D
-18.9638,128.68605,341.52,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.36,6.07,D
-18.96445,128.68213,336.37,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,306.24,5.18,D
-18.9651,128.67819,352.64,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,308.4,5.18,D
-18.96575,128.67427,356.68,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,320.41,91.39,D
-18.9339,128.68466,351.26,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,308.58,8.62,D
-18.93454,128.68073,352.68,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,311.66,8.62,D
-18.93518,128.6768,332.51,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,305.76,2.77,D
-18.92982,128.68796,336.2,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.5,4.29,D
-18.92702,128.6834,349.78,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,307.47,7.04,D
-18.9255,128.67099,348.64,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,309.08,6.94,D
-18.92206,128.67038,347.96,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,304.91,6.9,D
-18.92398,128.6586,340.71,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,310.53,14.76,D
-18.92055,128.65797,342.61,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,303.86,14.76,D
-18.92119,128.65405,355.78,0.41,0.37,2026-07-17,0521,N,nominal,2.0NRT,310.52,14.76,D
-18.92183,128.65013,333.72,0.41,0.37,2026-07-17,0521,N,low,2.0NRT,304.47,4.79,D
-17.22485,136.34346,335.8,0.39,0.59,2026-07-17,0521,N,nominal,2.0NRT,305.27,6.71,D
-17.22563,136.33972,344.45,0.39,0.59,2026-07-17,0521,N,nominal,2.0NRT,306.35,5.72,D
-17.22328,136.32364,336.54,0.39,0.59,2026-07-17,0521,N,nominal,2.0NRT,303.67,4.73,D
-17.21857,136.31874,352.66,0.39,0.59,2026-07-17,0521,N,nominal,2.0NRT,303.01,4.73,D
-17.21935,136.31503,329.99,0.39,0.59,2026-07-17,0521,N,low,2.0NRT,304.32,2.6,D
-16.82976,137.21454,333.89,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.41,5.97,D
-16.8307,137.21016,350.23,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,303.03,6.98,D
-16.82582,137.20442,367,0.45,0.63,2026-07-17,0521,N,high,2.0NRT,303.16,6.98,D
-16.82301,137.21751,330.03,0.45,0.63,2026-07-17,0521,N,low,2.0NRT,302.13,5.97,D
-16.82395,137.21315,355.7,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,304.58,5.97,D
-16.82488,137.20877,333.11,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.67,6.98,D
-16.81907,137.20743,339.09,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.97,5.44,D
-16.82,137.20308,340.33,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.12,5.44,D
-16.8151,137.19749,339.51,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,300.16,5.85,D
-16.80927,137.19621,345.88,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.24,6.91,D
-16.79483,137.20651,345.75,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.19,7.45,D
-16.77922,137.19397,338.55,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.88,4.21,D
-16.80496,137.19563,345.52,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,299.85,8.17,D
-16.7906,137.20592,343.14,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,300.54,7.43,D
-16.78078,137.19458,335.47,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.69,4.55,D
-16.77762,137.1806,337.52,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,302.45,5.7,D
-16.76776,137.16954,367,0.45,0.63,2026-07-17,0521,N,high,2.0NRT,302.95,12.34,D
-16.76414,137.18665,350.54,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,303.2,5.58,D
-16.76503,137.18242,330.36,0.45,0.63,2026-07-17,0521,N,low,2.0NRT,300.86,5.58,D
-16.76593,137.17818,341.04,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,300.03,11.27,D
-16.76685,137.17384,346.59,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.61,11.27,D
-16.76192,137.16832,367,0.45,0.63,2026-07-17,0521,N,high,2.0NRT,304.9,12.34,D
-16.75831,137.18538,348.1,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,301.51,5.58,D
-16.76282,137.16408,353.59,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,300.92,12.34,D
-16.76373,137.15981,332.49,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,299.15,3.22,D
-16.75788,137.15863,342.87,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,299.34,4.81,D
-16.75879,137.15434,345,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,299.57,4.81,D
-16.75115,137.16161,367,0.45,0.63,2026-07-17,0521,N,high,2.0NRT,303.93,10.8,D
-16.74936,137.17003,351.86,0.45,0.63,2026-07-17,0521,N,nominal,2.0NRT,300.78,11.88,D
